p1||---Breast Cancer
p1h1||--symptoms
p1h1t1||-Empty
p1h1t1e1||Lump in breast
p1h1t1e2||Discharge(fluid) from the nipple
p1h1t1e3||Change in size or shape of breast
p1h1t1e4||Scaly, red, or swollen skin on the breast, nipple, or areola
p1h1t1e5||Nipple turned inward into breast
p1h1t1e6||Dimpling or puckering in skin of breast

p1h2||--tests
p1h2t1||-Screening
p1h2t1e1||Mammogram
p1h2t1e2||Breast physical exam
p1h2t1e3||Ductal lavage
p1h2t1e4||BRACA-1 / BRACA-2
p1h2t1e5||HALO
p1h2t1e6||BREVAGen
p1h2t2||-Monitor and recurrence
p1h2t2e1||CA15-3 / CA27.29
p1h2t2e2||Oncotype DX
p1h2t2e3||DNA Ploidy
p1h2t2e4||MammaPrint (Agendia)
p1h2t2e5||Ki-67 Antigen
p1h2t3||-Diagnosis
p1h2t3e1||Breast biopsy
p1h2t3e2||Blood cell counts
p1h2t3e3||Blood chemistries
p1h2t3e4||Blood marker tests
p1h2t3e5||Bone scan
p1h2t3e6||Breast MRI (magnetic resonance imaging)
p1h2t3e7||Breast ultrasound
p1h2t3e8||Breast x-ray
p1h2t3e9||Computerized tomography(CT) scan
p1h2t3e10||Estrogen Receptor/Progensterone Recepto
p1h2t3e11||FISH Test(Fluorescence in Situ Hybridization)
p1h2t3e12||Her 2/neu
p1h2t3e13||IHC Tests(ImmunoHistoChemisty)
p1h2t3e14||Positron emission tomography(PET) scan
p1h2t3e15||SPoT-Light HER2 CISH

p1h3||--procedures
p1h3t1||-Empty
p1h3t1e1||Lumpectomy
p1h3t1e2||Mastectomy
p1h3t1e3||Sentinel lymph node dissection or biopsy
p1h3t1e4||Axillary lymph node dissection or biopsy
p1h3t1e5||Cryotherapy
p1h3t2||-Breast Reconstruction
p1h3t2e1||Immediate Breast Reconstruction
p1h3t2e2||Delayed Breast Reconstruction
p1h3t2e3||Silicon Implants
p1h3t2e4||Saline Implants
p1h3t2e5||DIEP Flap
p1h3t2e6||GAP Flap
p1h3t2e7||TUG Flap 
p1h3t2e8||TRAM Flap
p1h3t2e9||SIEA Flap
p1h3t2e10||Perforator Flaps
p1h3t2e11||Latissimus Dorsi Flap

p1h4||--treatments
p1h4t1||-Chemotherapy
p1h4t1e1||Abraxane (Paclitaxol)
p1h4t1e2||Aldesleukin (Proleukin)
p1h4t1e3||Carboplatin (Paraplatin)
p1h4t1e4||Carmustine (BiCNU)
p1h4t1e5||Cisplatin (Platinol, Platinol-AQ)
p1h4t1e6||Crizotinib (Xalkori)
p1h4t1e7||Cyclophosphamide (Cytoxan)Erlotinib Hydrochloride (Tarceva)
p1h4t1e8||Cytoxan (cyclophosphamide)
p1h4t1e9||Daunorubic (Cerubidine, DaunoXome)
p1h4t1e10||Dacarbazine (DTIC-Dome)
p1h4t1e11||Docetaxel (Taxotere)
p1h4t1e12||Doxil (Doxorubicin)
p1h4t1e13||Doxorubicin (Adriamycin, Rubex)
p1h4t1e14||Ellence (Epirubicin)
p1h4t1e15||Etoposide Phosphate (Toposar VePesid)
p1h4t1e16||Fluorouracil (Adrucil)
p1h4t1e17||Fotemustine (Muphoran)
p1h4t1e18||Gemzar (gemcitabine)
p1h4t1e19||Ifosfamide (Ifex) {(Mesna (Mesnex) prevention of hemorrhagic cystitis induced by Ifosfamide}
p1h4t1e20||Iressa (Gefitinib)
p1h4t1e21||Ipilimumab (Yervoy)
p1h4t1e22||Irinotecan (Camptosar)
p1h4t1e23||Lomustine (CeeNU)
p1h4t1e24||Lxempra (Ixabepilone)
p1h4t1e25||Methotrexate (Amethoprerin, Mexate, Folex)
p1h4t1e26||Mitoxantrone (Navantrone)
p1h4t1e27||Navelbine (Vinorelbine)
p1h4t1e28||Paclitaxel (Taxol)
p1h4t1e29||Pemetrexed (Alimta)
p1h4t1e30||Taxotere (Docetaxel)
p1h4t1e31||Temozolomide (Methazolastone, Temodar)
p1h4t1e32||Thiotepa (Thioplex)
p1h4t1e33||Topotecan Hydrochloride (Hycamtin)
p1h4t1e34||Vinblastine (Velban, Velsar)
p1h4t1e35||vincristine (Oncovin, Vinacasar PES, Vincrex)
p1h4t1e36||Vinorelbine (Navelbine)
p1h4t1e37||Xeloda (Capecitabine)
p1h4t2||-Hormonal Therapy
