BRACA-1 / BRACA-2|BRACA-1 / BRACA-2 Screen
Blood cell counts|Complete Blood Count
Computerized tomography(CT) scan|CAT Scan (CT - Computerized Tomography)
Estrogen Receptor/Progensterone Recepto|Estrogen and Progesterone Receptor Status Tests
FISH Test(Fluorescence in Situ Hybridization)|FISH Test (Fluorescence in Situ Hybridization)
Her 2/neu|Her2/neu
IHC Tests(ImmunoHistoChemisty)|IHC Tests (ImmunoHistoChemistry)
Positron emission tomography(PET) scan|Positron emission tomography (PET) scan
Abraxane (paclitaxel)|Paclitaxol (Abraxane)
Adriamycin (doxorubicin)|Doxorubicin (Adriamycin, Doxil)
Cytoxan (cyclophosphamide)|Cyclophosphamide (Cytoxan)
Ellence (epirubicin)|Epirubicin (Ellence)
Gemzar (gemcitabine)|Gemcitabine (Gemzar)
Navelbine (vinorelbine)|Vinorelbine (Navelbine)
Taxol (paclitaxel)|Paclitaxol (Abraxane)
Taxotere (docetaxel)|Docetaxel (Taxotere)
Xeloda (capecitabine)|Capecitabine (Xeloda)
carboplatin (Paraplatin)|Carboplatin (Paraplatin)
daunorubic (Cerubidine, DaunoXome)|Daunorubicin (Cerubidine, Daunoxome)
fluorouracil (Adrucil)|Fluorouracil (Adrucil)
lxempra (ixabepilone)|Ixabepilone (Ixempra)
methotrexate (Amethoprerin, Mexate, Folex)|Methotrexate (Amethoprerin, Mexate, Folex)
mitoxantrone (Navantrone)|Mitoxantrone (Novantrone)
thiotepa (Thioplex)|Thiotepa (Thioplex)
vincristine (Oncovin, Vinacasar PES, Vincrex)|Vincristine (Oncovin, Vincrex)
Aromasin (exemestane)|Exemestane (Aromasin)
Evista (raloxifene)|Raloxifene (Evista)
Fareston (toremifene)|Toremifene (Fareston)
Faslodex (fulvestrant)|Fulvestrant (Faslodex)
Femara (letrozole)|Letrozole (Femara)
Avastin (bevacizumab)|Bevacizumab (Avastin)
Herceptin (trastuzumab)|Trastuzumab (Herceptin)
Tykerb (lapatinib)|Lapatinib (Tykerb)
Breating problems|Breathing Problems
Dhydration|Dehydration
Dizzyness|Dizziness
Endmetriosis|Endometriosis
Menopause and Menopausal|Menopause and Menopausal Symptoms
Tast and smell changes|Taste and smell changes
Vaginial Discharge|Vaginal Discharge
