Parent;Child;Child;Child;Child;Aliases;
Alternative Treatments;;;;;Holistic Treatments;
;Acupuncture;;;;;
;Herbs;;;;;
;Massage;;;;;
;Supplements;;;;;
Anatomy;;;;;;
;Breast Anatomy;;;;;
;;Areola;;;;
;;Breast;;;;
;;Connective tissue;;;;
;;Ducts;;;Milk Ducts;
;;Lobe;;;Milk Producing Lobules;
;;Lobules;;;;
;;Lymph Nodes;;;;
;;Lymph Vessels;;;;
;;Nipple;;;;
;Esophagus;;;;;
;Mouth;;;;;
;Mucous Linings;;;;;
Breast Cancer Info;;;;;;
;Breast Cancer Prognosis;;;;;
;Breast Cancer Screening;;;;;
;Breast Cancer Stage;;;;;
;;Survivor;;;;
;;Newly Diagnosed;;;Just Diagnosed, Recently Diagnosed;
;;Recurrence;;;Recurrent;
;;Stage 0;;;;
;;;Stage 0 Experiences;;;
;;Stage 1;;;Stage I;
;;;Stage 1 Experiences;;;
;;Stage 2;;;Stage II;
;;;Stage 2 Experiences;;;
;;Stage 3;;;Stage III;
;;;Stage 2 Experiences;;;
;;Stage 4;;;Stage IV;
;;;Stage 4 Experiences;;;
;;Cured;;;;
;Breast Cancer Type;;;;;
;;Invasive;;;;
;;;IBC;;inflammatory breast cancer;
;;;IDC;;invasive ductal carcinoma;
;;;ILC;;invasive lobular carcinoma;
;;;Micro-invasive DCIS;;;
;;Non-invasive;;;;
;;;DCIS;;Ductal Carcinoma In Situ, Non-Invasive Ductal;
;;;LCIS;;Lobular Carcinoma In Situ, Lobular Neoplasia;
;Tips for Breast Cancer;;;;;
General Health Information;;;;;;
;Blood Pressure;;;;;
;Bowel Movement;;;;;
;Doctors Appointment;;;;;
;Carcinogen ;;;;Metastasize;
;Estrogen;;;;;
;Fertility;;;;;
;Genes;;;;;
;;Her-2 Gene;;;;
;;HER+;;;HER Positive;
;;HER-;;;HER Negative;
;;BRCA-1;;;;
;;BRCA-2;;;;
;Having A Baby;;;;;
;Healthy Living;;;;;
;;Eating;;;;
;;Fitness;;;;
;;Nutrition;;;;
;Home Remedies;;;;;
;Hormones;;;;;
;;Estrogen Receptor Negative;;;;
;;Estrogen Receptor Positive;;;;
;;Hormone Receptor Negative;;;;
;;Hormone Receptor Positive;;;;
;;Progesterone Receptor Positive;;;;
;;Progesterone Receptor Negative;;;;
;;Triple Negative;;;;
;;;Triple Negative Experiences;;;
;Hormone Replacement Therapy;;;;HRT;
;Length of Treatment;;;;;
;Lifestyle Changes;;;;;
;Managing Hot Flashes;;;;;
;Medical Research;;;;;
;Medical Menopause;;;;;
;Medically Induced Menopause;;;;;
;Menopause;;;;;
;Mechanism Of Action;;;;;
;Metastasis;;;;;
;No Standard Treatment;;;;;
;Palliative Therapy;;;;;
;Platelets;;;;;
;Pregnancy;;;;;
;Prevention;;;;;
;Prognosis;;;;;
;Protection;;;;;
;Second Opinion;;;;;
;Skin Pigmentation;;;;;
;Standard Treatment;;;;;
;Sun Exposure;;;;;
;Support;;;;;
;;Advice;;;;
;;Chat Rooms;;;;
;;Discussion Boards;;;;
;;Emotional Support;;;;
;;;Congratulations;;;
;;Forums;;;;
;;Guidance;;;;
;;Hotlines;;;;
;;Information;;;;
;;Others Who Understand;;;;
;;Support Groups;;;;
;;Support Organizations;;;;
;;Support Team;;;;
;Treatment Plan;;;;;
;;Treatment Plan Options;;;;
;;Determine Treatment Plan Options;;;;
;White Blood Cells;;;;;
Medications;;;;;Medications, Drugs;
;Adjuvant Therapy;;;;;
;Anti-Fungal Treatments;;;;;
;;Anti-Fungal Cream;;;;
;Aromatase Inhibitors;;;;;
;Chemotherapy;;;;;
;;Paclitaxol (Abraxane, Taxol);;;difference between Abraxane, Taxol??;
;;Doxorubicin (Adriamycin, Doxil);;;difference between Adriamycin and Doxil??;
;;Chemotherapy Experiences;;;;
;;Cyclophosphamide (Cytoxan);;;;
;;Epirubicin (Ellence);;;;
;;Gemcitabine (Gemzar);;;;
;;Vinorelbine (Navelbine);;;;
